NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
70,19-01-2022,8:23:09,34.7138,45.0689,15,2.3,Kifiri - Garmian
71,20-01-2022,22:19:41,36.1638,45.026,15,2,Bardakoz - Dokan - Sulaymanyah
72,21-01-2022,1:12:26,35.2825,45.556,11.5,1.8,Awakala - Darbandihkan  - Sulaymanyah
73,21-01-2022,1:55:18,36.7246,44.4214,12,2.3,Soran - Hawler
74,23-01-2022,4:05:51,35.8624,46.9862,5,2.1,Dabagh -  Iran
75,23-01-2022,4:30:57,37.7724,46.7806,20,4.1,West Azerbaijan - Iran
76,23-01-2022,4:40:00,35.5225,45.3063,5,2,Lanjawa - Hazarmerd  - Sulaymanyah
77,24-01-2022,2:48:04,38.5106,46.2542,10,4,West Azerbaijan - Iran
78,24-01-2022,17:27:27,35.7317,46.0465,8,2.5,Taratulu  -  Penjwin - Sulaymanyah
79,24-01-2022,18:21:18,34.3675,47.2892,10,2.7,Kermanshah  - Iran
80,25-01-2022,5:17:12,35.0372,45.495,11.9,2.3,Bustana - Kalar - Garmian
81,25-01-2022,18:29:15,35.2783,45.6961,11.6,2.1,Miradee - Darbandihkan  - Sulaymanyah
82,25-01-2022,22:55:20,38.0062,43.6935,15,3.6,Van - Turkey
83,25-01-2022,23:01:11,36.5984,43.515,15,2.6,Rovia - Duhok
84,26-01-2022,4:14:26,35.2674,46.466,15,2.7,Mariwan - Iran
85,27-01-2022,22:57:08,34.4349,45.8888,5,2.9,Kermanshah  - Iran
86,28-01-2022,8:26:33,35.3905,46.2346,5,2.2,Mariwan - Iran
87,28-01-2022,23:05:35,35.3796,45.7076,11.5,2,Kanipanka  - Sulaymanyah
88,29-01-2022,4:03:41,36.6036,44.9985,15,2.3,Haji Omeran - Choman - Hawler
89,30-01-2022,2:54:59,35.853,43.357,11.8,3.6,zuway  vilage - Mosul
90,30-01-2022,4:43:33,35.8368,43.3272,11.9,3.4,zuway  vilage - Mosul
91,30-01-2022,15:41:02,34.7847,45.8754,15,2.5,Kermanshah  - Iran
92,31-01-2022,9:28:24,35.1752,45.768,5,1.9,Azaban -  Darbandihkan  - Sulaymanyah
